TAMU-ID,Serial #,Device Mfg.,Device Model,MAC Address,IP Address,Host Name,Room #,Descripton,PC#,Alma #/Notes
1234,ABC,Apple,Ipad Pro,AB:CD:EF:GH:IJ,123.456.789.101,LIB100-1234,100,Main Room IPad,1,N/A
4321,CBA,Apple,Ipad Pro,JI:GH:EF:CD:AB,123.456.868.201,LIB100-4321,100,Main Room IPad,2,Photoshop
2345,BCD,Apple,Ipad Pro,HY:KU:PW:BB:MC,123.456.834.301,LIB100-2345,100,Main Room Ipad,3,N/A
5432,DCB,Apple,Ipad Pro,MW:PG:XZ:IT:RE,123.456.659.401,LIB100-5432,100,Main Room Ipad,4,Virus
3456,CDE,Apple,Ipad Pro,OQ:JR:VC:LN:AI,123.456.982.501,LIB100-3456,100,Main Room IPad,5,Photoshop
6543,EDC,Apple,Ipad Pro,FD:HC:TH:NX:IY,123.456.265.601,LIB100-6543,100,Main Room IPad,6,Broken Screen
4567,DEF,Apple,Ipad Pro,UB:KS:NY:TX:MY,123.456.347.701,LIB100-4567,100,Main Room IPad,7,N/A
7654,FED,Apple,Ipad Pro,TD:LS:VR:IE:BX,123.456.986.801,LIB100-7654,100,Main Room IPad,8,Soda Damage
5678,EFG,Apple,Ipad Pro,GY:OD:SI:BX:MA,123.456.681.901,LIB100-5678,100,Main Room IPad,9,N/A
8765,GFE,Apple,Ipad Pro,JR:DR:CO:NM:DW,123.456.936.102,LIB100-8765,100,Main Room IPad,10,Photoshop
6789,FGH,Apple,Ipad Pro,RR:NH:PO:TR:MW,123.456.284.202,LIB100-6789,100,Main Room IPad,11,Virus
9876,HGF,Apple,Ipad Pro,YV:IJ:BY:QT:PE,123.456.983.302,LIB100-9876,100,Main Room IPad,12,Dropped
7890,GHI,Apple,Ipad Pro,UT:XS:GR:WE:RL,123.456.874.402,LIB100-7890,100,Main Room IPad,13,N/A
9087,IHG,Apple,Ipad Pro,BY:FR:KL:WR:NG,123.456.934.502,LIB100-9087,100,Main Room IPad,14,N/A
1023,HIJ,Apple,Ipad Pro,VE:XJ:QW:ZU:BT,123.456.815.602,LIB100-1023,100,Main Room IPad,15,Update
